,true_values,pred_probs,titles,pred
1215,0.0,0.7651111208234573,Scientists Propose New Satellite Tech to Dodge Space Junk from Megaconstellations,1.0
13585,1.0,0.4525818061652343,I Was Anti-Vaccine Until My Doctor Got Hot And Suggested Them Again,0.0
14077,1.0,0.15137543796549985,"Excuse Me, Mr. Trump, Sir, But, Respectfully, Dr. Trump, Mind You, Captain President, Sir, And There's Nothing You Can Do About It, Good Professor!",0.0
2470,0.0,0.5670197536556842,Priest made young boys dress up like baby Jesus before he sexually abused them,1.0
4903,0.0,0.535958731972125,Suspected home intruder leaps from 2nd-floor bathroom window -- and lands on its feet,1.0
4480,0.0,0.5701223338356227,She threw her iPhone out the window and has never been happier,1.0
10219,1.0,0.3226990790500763,Shocking Dark Secret: The Host Of The Beloved Kids Show 'Professor Groin Pincher's Carnival Of Pleasures' Has Been Posthumously Unmasked As A Pedophile,0.0
3997,0.0,0.5126768984358496,Prehistoric Babies Drank Animal Milk From Bottles,1.0
11975,1.0,0.20336170026292802,We Asked 22 Meteorologists About The Worst Storm They’ve Ever Created To Punish An Ex-Lover,0.0
13909,1.0,0.48376503931018927,9/11: Government Admits It Was Only Behind Destruction Of North Tower,0.0
1854,0.0,0.7215316313015288,Just a reminder that this is illegal in China,1.0
6432,0.0,0.85150479772923,J.K. Simmons Joins Cast of Animated-Adventure 'Seal Team' - About an orphan seal who spends his days off the coast of Africa eluding sharks until he decides to assemble a team of like-minded seals to turn the tables on the sharks. - Also Starring Sharlto Copley and Seal (the singer),1.0
593,0.0,0.5793029066185007,Windows 10 Security Alert As Microsoft Warns: ‘Do Not Install This Update’,1.0
9218,1.0,0.4297742872425193,Winter Is Shortcoming,0.0
13899,1.0,0.2652418920057124,Prince Harry Gets Old Suit Tailored To Wear To Wedding,0.0
9839,1.0,0.4992777855271837,NASA Administrator Resigns After Leak Of Offensive Anti-Moon Email,0.0
9255,1.0,0.26114895692957607,Unclear If Store Called ‘Casa Spazio’ Sells Leather Sofas Or Pizzas,0.0
16246,1.0,0.3030355024422191,News: Awesome: Vera Wang Is Releasing A Tear-Away Wedding Dress For Brides Who Have A Basketball Game During The Ceremony,0.0
12892,1.0,0.3733452940594604,Ohio State Puts Urban Meyer On Paid Secret Coaching Leave,0.0
13636,1.0,0.34460983157050623,76ers Expected To Fire GM Who Created Anonymous Twitter Accounts To Criticize Team,0.0
13771,1.0,0.4410312476515903,Top Celebrities Who Are Not Invited To The Royal Wedding - Celebrity Crush,0.0
4108,0.0,0.7122733437273763,Dominos Offering Dream Job as Garlic Bread Taster,1.0
13104,1.0,0.4536657692925524,The Road Worrier,0.0
567,0.0,0.5321031473966077,Strategically placed bush used to hide sculptures vulva.,1.0
7738,0.0,0.6835399460987291,Theres An Emu On the Loose In North Carolina and Nobodys Been Quick Enough To Catch It,1.0
8235,1.0,0.47326834015084623,Behind The Pen: The Chinese Threat,0.0
9155,1.0,0.4662715540320908,A Guide To The Best Weapons In ‘FIFA 19’,0.0
5428,0.0,0.930172781748702,Ted Cruz and Andrew Yang will suit up in 4-on-4 basketball game for charity after Democratic candidate challenged senator who beat Jimmy Kimmel 1-on-1,1.0
8674,1.0,0.36166838843614896,"Trump Thanks Supporters Who Sacrificed Time, Money, Friends, Family, Morals, Religious Beliefs To Be Here Today",0.0
14156,1.0,0.2614565292425511,"A New Beginning: After Formally Ending Their 65-Year War, North And South Korea Have Teamed Up To Invade Italy",0.0
1337,0.0,0.8580760529265298,He befriended the ashes of a Vietnam veteran. Now he has to let him go.,1.0
6737,0.0,0.7455574548798655,Donald Trump’s New Mideast Point Man Is Jared Kushner’s Personal Assistant,1.0
10264,1.0,0.30171753127955164,Every Baby Boomer In Country Urged To Resign After Photos Emerge Of Them In Blackface,0.0
